Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
524,440634216.00,0,,,,
525,440634232.00,0,,,,
526,440634256.00,0,,,,
527,440634272.00,0,,,,
528,440634296.00,0,,,End bit,
529,515376224.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
530,515376248.00,1,,,Transmission: host,
531,515376264.00,1,,,Command: ERASE_WR_BLK_START (32),
532,515376288.00,0,,,,
533,515376328.00,0,,,,
534,515376368.00,0,,,,
535,515376408.00,0,,,,
536,515376432.00,0,,,,
537,515376448.00,0,,,Argument: 0x00000000,
538,515376472.00,0,,,,
539,515376488.00,0,,,,
540,515376512.00,0,,,,
541,515376552.00,0,,,,
542,515376592.00,0,,,,
543,515376632.00,0,,,,
544,515376656.00,0,,,,
545,515376672.00,0,,,,
546,515376696.00,0,,,,
547,515376712.00,0,,,,
548,515376736.00,0,,,,
549,515376752.00,0,,,,
550,515376776.00,0,,,,
551,515376792.00,0,,,,
552,515376816.00,0,,,,
553,515376856.00,0,,,,
554,515376896.00,0,,,,
555,515376936.00,0,,,,
556,515376960.00,0,,,,
557,515376976.00,0,,,,
558,515377000.00,0,,,,
559,515377016.00,0,,,,
560,515377040.00,0,,,,
561,515377080.00,0,,,,
562,515377120.00,0,,,,
563,515377160.00,0,,,,
564,515377200.00,0,,,,
565,515377240.00,0,,,,
566,515700016.00,0,,,,
567,515700040.00,0,,,,
568,515700056.00,0,,,,
569,515700080.00,0,,,CRC: 0x0,
570,515700096.00,0,,,,
571,515700120.00,0,,,,
572,515700160.00,0,,,,
573,515700200.00,0,,,,
574,515700240.00,0,,,,
575,515700264.00,0,,,,
576,515700280.00,0,,,End bit,
577,515700320.00,0,,,Start bit,Response: R1
578,515700344.00,0,,,Transmission: card,
579,515700360.00,0,,,Command: GO_IDLE_STATE (0),
580,515700384.00,0,,,,
581,515700424.00,0,,,,
582,515700464.00,0,,,,
583,515700504.00,0,,,,
584,515700544.00,0,,,,
585,515700584.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
586,515700608.00,0,ADDRESS_ERROR,,,
587,515700728.00,0,BLOCK_LEN_ERROR,,,
588,515700768.00,0,ERASE_SEQ_ERROR,,,
589,515700808.00,0,ERASE_PARAM,,,
590,515700848.00,0,WP_VIOLATION,,,
591,515701032.00,0,CARD_IS_LOCKED,,,
592,515701072.00,0,LOCK_UNLOCK_FAILED,,,
593,515701152.00,0,COM_CRC_ERROR,,,
594,515701192.00,0,ILLEGAL_COMMAND,,,
595,515701232.00,0,CARD_ECC_FAILED,,,
596,515701296.00,0,CC_ERROR,,,
597,515701312.00,0,ERROR,,,
598,515701336.00,0,Reserved,,,
599,515701376.00,0,Reserved for DEFERRED_RESPONSE,,,
600,515701416.00,0,CSD_OVERWRITE,,,
601,515701456.00,0,WP_ERASE_SKIP,,,
